cliente_id,nombre,dni,fecha_nacimiento,email,telefono,ciudad,provincia,codigo_postal,tipo_poliza,estado_poliza,prima_anual,fecha_alta,num_siniestros,canal_contratacion,importe_ultimo_siniestro,scoring_riesgo,observaciones
25,Patricia Blanco,87462428W,1991-11-04,patricia.blanco@email.com,+34 645 725 351,Barcelona,Barcelona,08170,Auto,Cancelada,463.37,2020-06-15,6,Oficina,8344.81,80.0,null
26,Francisco Álvarez,47003110C,1976-05-25,,+34 646 434 191,Málaga,Málaga,29995,Auto,Activa,2863.91,2015-06-30,0,Teléfono,5351.94,62.5,Reclamación abierta
27,Raúl Castro,99097673S,1963-11-24,raul.castro@email.com,+34 627 965 162,Sevilla,Sevilla,41296,Vida,Activa,1942.49,2019-05-12,2,Online,11883.26,46.8,N/A
28,Ana Martínez,3790,1978-07-05,ana.martinez@email.com,+34 631 611 238,Málaga,Málaga,29157,Hogar,Activa,2178.81,2023-09-27,3,Teléfono,11371.94,21.7,Reclamación abierta
29,Laura Fernández,20669435A,1992-12-12,,+34 667 284 304,Barcelona,Barcelona,08523,Responsabilidad Civil,Cancelada,1034.51,2023-01-01,3,Teléfono,5531.85,33.4,-
30,Patricia Blanco,53728950R,1969-10-18,patricia.blanco@email.com,+34 613 313 355,Sevilla,Sevilla,41568,Responsabilidad Civil,Vencida,1353.87,2023-07-12,1,Oficina,222.45,96.0,
31,Elena Torres,21484508H,1992-04-02,elena.torres@email.com,+34 616 672 974,Málaga,Málaga,29723,Auto,Pendiente,826.58,2016-10-08,3,Agente,12136.55,52.0,null
32,Carmen Díaz,97929144W,1980-02-15,carmen.diaz@email.com,,Bilbao,Vizcaya,48147,Hogar,Activa,2811.1,2020-05-15,0,Online,14076.93,40.1,-
33,Elena Torres,26701250X,1988-03-09,elena.torres@email.com,+34-651-439-268,Valencia,Valencia,46534,Hogar,Activa,-500.0,2018-07-07,0,Online,11839.51,52.1,NINGUNA
34,Andrés Ramos,46992982H,1987-06-22,andres.ramos@email.com,+34 612 853 220,Murcia,Murcia,30284,Hogar,Vencida,1965.25,2021-02-22,2,Online,1952.92,150.0,NINGUNA
35,Carlos Rodríguez,54489781Y,1999-01-19,carlos.rodriguez@email.com,+34 610 713 137,Zaragoza,Zaragoza,50978,Salud,Activa,2255.96,2022-05-16,3,Agente,1219.19,34.0,OK
36,David Navarro,90170222E,1985-10-18,,+34 694 744 813,Valencia,Valencia,46938,Salud,Cancelada,1239.1,2023-04-07,4,Online,7019.95,17.9,Sin observaciones
37,Andrés Ramos,63517362A,1962-04-21,andres.ramos@email.com,+34 630 341 554,Málaga,Málaga,29264,Auto,Vencida,2216.28,2021-04-21,0,Online,9431.18,58.5,Cliente preferente
38,Carmen Díaz,93463150H,1997-05-31,,+34 676 720 402,Sevilla,Sevilla,25811,Hogar,Pendiente,2092.78,2020-07-17,1,Agente,9445.09,66.5,NINGUNA
39,Juan López,34444321C,1953-12-31,,+34 693 694 902,Bilbao,Vizcaya,48430,Hogar,Activa,2175.85,2022-08-11,1,Online,14803.71,71.3,Pendiente validación
40,Raúl Castro,95808215N,1988-09-18,,,Bilbao,Vizcaya,48429,Responsabilidad Civil,Activa,1569.84,2015-12-02,1,Oficina,5970.65,88.2,Revisar
41,Sara Gil,50576287X,1979-04-23,sara.gil@email.com,+34 677 239 543,Zaragoza,Zaragoza,50220,Responsabilidad Civil,Activa,1272.22,2019-04-26,1,Oficina,4978.59,37.1,Revisar
42,Elena Torres,86106218P,1995-08-22,,+34 636 411 845,Bilbao,Vizcaya,48312,Auto,Cancelada,821.83,2019-03-06,6,Teléfono,8021.71,7.5,N/A
43,Francisco Álvarez,39677043E,1995-08-01,francisco.alvarez@email.com,+34 632 764 376,Valencia,Valencia,46922,Hogar,Activa,2508.95,2017-09-16,1,Teléfono,12384.13,95.8,null
44,Miguel Ruiz,79071029U,1968-08-30,miguel.ruiz@email.com,+34 670 418 989,Las Palmas,Las Palmas,35606,Auto,Activa,1903.38,2023-01-26,1,Teléfono,14051.61,43.5,OK
45,Sara Gil,10611213W,1981-11-13,,+34 661 955 252,Bilbao,Vizcaya,48652,Responsabilidad Civil,Activa,1444.19,2018-07-02,3,Oficina,12046.86,62.3,
46,Ana Martínez,65842822J,1989-06-29,ana.martinez@email.com,+34 664 913 643,Zaragoza,Zaragoza,50964,Responsabilidad Civil,Activa,2843.19,2016-05-28,0,Oficina,6400.11,66.6,Pendiente validación
47,David Navarro,83678496W,1988-03-27,,+34 664 963 488,Bilbao,Vizcaya,48900,Salud,Cancelada,333.95,2020-07-22,3,Oficina,10660.86,54.7,N/A
48,Marta Vázquez,28803796S,1999-09-07,marta.vazquez@email.com,+34 645 721 276,Bilbao,Vizcaya,48267,Auto,Cancelada,2580.48,2015-08-30,3,Teléfono,9531.25,20.5,OK
49,Carlos Rodríguez,16202258D,1980-10-10,carlos.rodriguez@email.com,+34 667 906 947,Palma,Baleares,07645,Auto,Activa,2993.23,2021-01-05,0,Teléfono,7359.15,75.5,Sin observaciones
50,Andrés Ramos,86989724R,1950-02-10,andres.ramos@email.com,+34 694 928 236,Valencia,Valencia,46929,Hogar,Activa,2683.44,2019-09-30,1,Teléfono,3250.3,80.4,
51,Miguel Ruiz,85899393A,1965-12-15,miguel.ruiz@email.com,+34 615 208 646,Málaga,Málaga,29886,Hogar,Vencida,2469.22,2022-09-05,1,Teléfono,2545.85,55.3,Revisar
52,Carlos Rodríguez,31232430E,1972-08-12,carlos.rodriguez@email.com,666 666 666,Madrid,Madrid,28526,Salud,Activa,1248.06,2022-04-21,1,Teléfono,2.37,48.9,NINGUNA
53,Juan López,50473321B,1997-07-24,juan.lopez@email.com,+34 614 525 186,Las Palmas,Las Palmas,35808,Vida,Pendiente,847.68,2021-11-05,0,Teléfono,10773.57,11.4,Sin observaciones
54,Pedro Sánchez,92932418W,2020-06-15,pedro.sanchez@email.com,+34 690 175 570,Bilbao,Vizcaya,48802,Vida,Vencida,2257.58,2021-03-09,1,Oficina,1666.46,-5.0,N/A
55,Antonio Moreno,22790902L,1994-06-11,antonio.moreno@email.com,+34 689 513 924,Murcia,Murcia,30320,Vida,Activa,1052.81,2016-10-29,0,Agente,3657.59,34.0,NINGUNA
56,Carlos Rodríguez,87973011E,1971-05-15,carlos.rodriguez@email.com,+34 695 556 384,Bilbao,Vizcaya,48109,Auto,Activa,692.91,2016-08-16,2,Agente,4468.14,31.1,null
57,Andrés Ramos,16193956F,1964-09-18,,+34 646 698 752,Palma,Baleares,07219,Auto,Vencida,2402.27,2020-12-18,0,Teléfono,8405.7,105.0,-
58,Francisco Álvarez,99323229I,1956-11-29,,+34 641 657 471,Málaga,Málaga,29734,Responsabilidad Civil,Activa,1075.12,2022-04-13,4,Agente,5969.36,78.4,null
59,Juan López,84380340L,1975-05-27,juan.lopez@email.com,+34 632 144 500,Murcia,Murcia,30346,Auto,Activa,2760.44,2015-09-13,0,Agente,10120.11,66.0,
60,Antonio Moreno,13266402T,1977-01-24,antonio.moreno@email.com,,Las Palmas,Las Palmas,35459,Auto,Activa,2553.77,2019-02-11,1,Oficina,834.58,51.8,Sin observaciones
61,Carlos Rodríguez,34899065V,1952-02-18,carlos.rodriguez@email.com,+34 615 719 117,Murcia,Murcia,30320,Auto,Activa,2573.39,2016-07-14,2,Teléfono,1859.09,16.7,Cliente preferente
62,David Navarro,74910615Q,1954-02-01,david.navarro@email.com,+34 631 857 388,Valencia,Valencia,46872,Salud,Pendiente,2360.4,2020-10-11,4,Teléfono,7488.17,97.8,null
63,Javier Domínguez,24072989X,,javier.dominguez@email.com,+34 639 820 737,Zaragoza,Zaragoza,50605,Auto,Pendiente,2666.47,2018-08-27,0,Agente,5054.47,37.5,Reclamación abierta
64,Sara Gil,34840955,1998-07-20,sara.gil@email.com,+34 641 598 733,Zaragoza,Zaragoza,50157,Hogar,Pendiente,2456.09,2016-02-11,2,Teléfono,4437.2,10.7,Sin observaciones
65,Miguel Ruiz,NULL,1987-04-12,miguel.ruiz@email.com,+34 619 214 773,Las Palmas,Las Palmas,35926,Hogar,Activa,1887.03,2022-10-20,1,Teléfono,1005.42,49.4,N/A
66,David Navarro,78841329S,1983-03-21,david.navarro@email.com,+34 682 333 639,Málaga,Málaga,29559,Responsabilidad Civil,Activa,1028.3,2023-09-12,0,Teléfono,13435.79,87.4,null
67,Miguel Ruiz,63505232N,1977-11-13,miguel.ruiz@email.com,+34 620 305 778,Zaragoza,Zaragoza,50227,Salud,Cancelada,2686.99,2020-02-04,6,Teléfono,12383.92,88.7,-
68,Javier Domínguez,54599847B,1971-07-01,javier.dominguez@email.com,+34 656 857 226,Barcelona,Barcelona,08798,Hogar,Activa,2553.69,2020-08-24,1,Agente,1824.27,1.1,N/A
69,Lucía Romero,46413676Y,1994-08-06,lucia.romero@email.com,+34 628 217 481,Palma,Baleares,07816,Salud,Cancelada,1524.06,2019-09-07,3,Online,6101.54,88.6,-
70,Andrés Ramos,43877350I,1969-08-05,,+34 637 763 683,Las Palmas,Las Palmas,35185,Salud,Activa,309.42,2015-09-16,1,Agente,14623.09,27.1,Cliente preferente
71,Sara Gil,71658869V,1955-08-07,sara.gil@email.com,+34 618 274 388,Las Palmas,Las Palmas,28196,Responsabilidad Civil,Cancelada,1987.92,2016-12-23,4,Oficina,11962.22,3.9,NINGUNA
72,Lucía Romero,76374125D,1970-03-05,lucia.romero@email.com,+34 671 580 118,Madrid,Madrid,27880,Salud,Activa,341.67,2018-07-06,1,Online,6261.84,84.8,Reclamación abierta
73,Carmen Díaz,41251097Z,1987-05-02,carmen.diaz@email.com,+34 676 429 274,Madrid,Madrid,28304,Auto,Activa,-500.0,2016-09-05,2,Online,10525.97,86.4,Cliente preferente
74,Sara Gil,76268268B,1975-02-07,sara.gil@email.com,+34 674 453 598,Valencia,Valencia,46740,Salud,Activa,2892.57,2019-08-22,2,Online,11344.98,59.6,Reclamación abierta
75,Lucía Romero,88987338F,1996-11-06,lucia.romero@email.com,+34 622 857 996,Valencia,Valencia,46857,Responsabilidad Civil,Activa,730.57,2023-07-14,0,Agente,11699.43,57.4,OK
76,María García,44569361U,1981-01-06,maria.garcia@email.com,+34 643 192 338,Madrid,Madrid,28137,Responsabilidad Civil,Activa,2093.89,2020-06-01,2,Oficina,7168.16,81.3,Revisar
77,Elena Torres,20971177D,1986-06-20,elena.torres@email.com,+34 686 659 532,Zaragoza,Zaragoza,50462,Responsabilidad Civil,Cancelada,458.35,2017-03-23,6,Agente,12499.55,78.6,-
78,Carmen Díaz,30080673Q,1950-12-09,carmen.diaz@email.com,+34 673 416 394,Sevilla,Sevilla,41720,Hogar,Pendiente,0.0,2019-11-22,2,Oficina,165.42,89.0,OK
79,María García,84052985L,1953-12-18,,+34 697 381 116,Las Palmas,Las Palmas,35408,Auto,Pendiente,1172.41,2015-11-27,1,Agente,13898.36,55.3,Sin observaciones
80,Francisco Álvarez,91266262U,1968-01-08,francisco.alvarez@email.com,+34 680 368 424,Barcelona,Barcelona,08151,Hogar,Vencida,2106.94,2021-01-21,0,Agente,9049.62,96.8,NINGUNA
81,Miguel Ruiz,57226729V,1982-06-13,miguel.ruiz@email.com,0034 688704509,Las Palmas,Las Palmas,35100,Vida,Activa,1244.05,2018-05-01,2,Agente,3047.31,99.6,Reclamación abierta
82,Isabel Jiménez,61048404Y,1967-04-19,isabel.jimenez@email.com,+34 616 413 916,Bilbao,Vizcaya,48110,Auto,Activa,607.59,2019-03-25,2,Online,13794.05,11.7,Cliente preferente
83,Patricia Blanco,80860062F,1996-04-19,patricia.blanco@email.com,+34 662 292 852,Málaga,Málaga,29925,Salud,Activa,1337.11,2018-10-29,2,Agente,13723.98,85.0,OK
84,Marta Vázquez,67701082H,1977-08-15,marta.vazquez@email.com,+34 671 628 270,Palma,Baleares,07846,Responsabilidad Civil,Cancelada,515.49,2023-08-03,6,Oficina,7275.36,50.0,Cliente preferente
85,Miguel Ruiz,13138145L,1985-06-12,miguel.ruiz@email.com,+34 634 350 864,BILBO,Sevilla,41739,Vida,Activa,1815.27,2016-01-22,2,Oficina,13110.85,38.8,Reclamación abierta
86,Ana Martínez,NULL,1995-12-20,ana.martinez@email.com,+34-644-943-531,Barcelona,Barcelona,08313,Auto,Pendiente,314.66,2019-02-27,0,Oficina,14966.77,61.3,Cliente preferente
87,Ana Martínez,92125254J,1989-11-19,ana.martinez@email.com,+34 641 893 479,Bilbao,Vizcaya,48854,Hogar,Activa,1676.5,2019-12-23,2,Online,3670.29,5.6,
88,María García,45055276Q,1990-09-16,,+34 625 124 921,Valencia,Valencia,46655,Responsabilidad Civil,Vencida,2681.83,2019-12-23,3,Agente,12633.74,50.6,
89,Laura Fernández,63775257U,1976-09-26,laura.fernandez@email.com,+34 637 172 731,Barcelona,Barcelona,08617,Hogar,Vencida,2546.05,2019-12-20,1,Agente,12345.42,87.1,-
90,Antonio Moreno,44954715Z,1984-02-18,antonio.moreno@email.com,,Madrid,Madrid,36662,Auto,Activa,2671.79,2023-06-29,0,Teléfono,3464.11,21.3,Cliente preferente
91,Elena Torres,77800621B,1999-11-30,,+34 695 435 524,Las Palmas,Las Palmas,35514,Auto,Activa,2781.74,2021-07-03,1,Online,1476.56,42.6,Sin observaciones
92,Carmen Díaz,53092987V,1998-11-27,carmen.diaz@email.com,+34 660 729 844,Barcelona,Barcelona,12895,Vida,Cancelada,492.68,2019-02-24,5,Oficina,8843.18,93.9,NINGUNA
93,Elena Torres,92822506A,1978-12-27,elena.torres@email.com,+34 680 817 512,Málaga,Málaga,29104,Salud,Activa,560.49,2018-05-25,0,Oficina,4440.37,42.9,
94,Carmen Díaz,97182130U,1952-02-11,carmen.diaz@email.com,+34 692 758 528,Murcia,Murcia,30461,Hogar,Activa,1759.62,2015-11-16,0,Agente,13063.38,35.8,NINGUNA
95,Miguel Ruiz,50381731S,1994-08-18,miguel.ruiz@email.com,+34 624 998 238,Valencia,Valencia,20353,Vida,Cancelada,2703.12,2016-02-03,6,Oficina,8623.93,44.1,Sin observaciones
96,Francisco Álvarez,34694812U,1974-01-05,francisco.alvarez@email.com,666 666 666,Palma,Baleares,07211,Responsabilidad Civil,Activa,2928.18,2020-03-29,0,Agente,315.37,51.9,N/A
97,Juan López,41970599K,1980-05-16,juan.lopez@email.com,0034 683372849,Madrit,Baleares,07372,Salud,Cancelada,329.53,2015-04-15,5,Agente,12015.03,63.2,Pendiente validación
98,María García,61207679D,1987-10-17,maria.garcia@email.com,+34 657 293 835,Barcelona,Barcelona,08521,Vida,Cancelada,1196.17,2016-11-26,3,Teléfono,14379.89,80.1,Reclamación abierta
99,Javier Domínguez,11270896G,2020-06-15,javier.dominguez@email.com,+34 617 633 617,Murcia,Murcia,30364,Hogar,Activa,796.1,2023-05-23,0,Online,10347.62,45.2,Reclamación abierta
100,Laura Fernández,81531239C,1955-07-01,laura.fernandez@email.com,+34 685 850 284,Las Palmas,Las Palmas,35557,Auto,Activa,2316.7,2015-11-26,0,Agente,8483.46,81.7,Sin observaciones
101,Ana Martínez,X5517877Z,1998-02-07,ana.martinez@email.com,+34 645 434 831,Bilbao,Vizcaya,48311,Responsabilidad Civil,Activa,1992.54,2016-10-21,1,Agente,1162.29,53.4,Revisar
102,Francisco Álvarez,41873646X,1980-08-21,francisco.alvarez@email.com,+34 666 148 784,Sevilla,Sevilla,41177,Hogar,Cancelada,535.69,2023-07-16,3,Agente,10624.75,33.8,Sin observaciones
103,Miguel Ruiz,52955157E,1977-05-03,miguel.ruiz@email.com,+34 691 933 432,Las Palmas,Las Palmas,35881,Salud,Activa,1553.86,2022-03-31,1,Teléfono,5820.74,65.8,Reclamación abierta
104,Ana Martínez,74445751A,1975-06-21,ana.martinez@email.com,+34-638-764-283,Bilbao,Vizcaya,48765,Salud,Pendiente,2119.23,2017-03-31,2,Agente,2784.06,71.8,Pendiente validación
105,María García,95518073D,1970-05-05,maria.garcia@email.com,+34 673 320 734,Sevilla,Sevilla,41320,Auto,Activa,2381.22,2020-05-26,1,Online,11883.34,55.8,
106,Ana Martínez,46905710T,1956-03-11,,+34 676 950 102,Murcia,Murcia,30468,Auto,Activa,256.15,2022-05-12,0,Online,6241.05,5.7,Sin observaciones
107,Laura Fernández,34755666C,1968-05-22,laura.fernandez@email.com,+34 663 305 931,Sevilla,Sevilla,41446,Responsabilidad Civil,Activa,2693.31,2019-11-29,0,Oficina,1401.48,17.0,Cliente preferente
108,Sara Gil,96654442Q,1974-06-05,N/A,+34 649 158 673,Las Palmas,Las Palmas,35124,Responsabilidad Civil,Activa,1793.99,2021-06-19,1,Online,7265.14,28.5,Revisar
109,David Navarro,86176890M,,david.navarro@email.com,,Málaga,Málaga,29519,Auto,Activa,2473.35,2023-10-24,0,Oficina,1362.57,28.3,Reclamación abierta
110,Ana Martínez,99817241B,1971-05-26,ana.martinez@email.com,+34 684 221 578,Barcelona,Barcelona,08453,Auto,Activa,2462.23,2016-04-06,1,Online,1934.06,67.3,Sin observaciones
111,María García,65182836I,1987-09-22,maria.garcia@email.com,+34 639 334 997,Bilbao,Vizcaya,48819,Salud,Activa,731.59,2019-05-27,1,Oficina,3594.15,1.8,Sin observaciones
112,Laura Fernández,64278856H,1984-11-06,laura.fernandez@email.com,+34 671 355 660,Málaga,Málaga,29516,Auto,Activa,508.48,2021-12-08,0,Agente,12892.92,75.6,Cliente preferente
113,David Navarro,50539152A,1978-04-16,,+34 618 447 770,Bilbao,Vizcaya,48614,Vida,Activa,2219.6,2019-08-03,1,Teléfono,13869.19,26.5,N/A
114,Elena Torres,84842172K,1976-12-06,elena.torres@email.com,+34-687-471-355,Barcelona,Barcelona,08314,Hogar,Cancelada,638.0,2021-09-23,5,Teléfono,13211.93,31.0,
115,Carmen Díaz,29482215J,1957-09-01,,+34 657 508 235,Zaragoza,Zaragoza,50211,Auto,Activa,2579.82,2020-09-05,1,Teléfono,5011.16,52.8,Pendiente validación
116,Sara Gil,67696034C,1972-10-25,sara.gil@email.com,+34 682 349 413,Sevilla,Sevilla,41803,Responsabilidad Civil,Activa,2233.33,2023-06-28,2,Agente,4086.7,21.6,
117,Sara Gil,75564145E,1964-10-24,sara.gil@email.com,+34 654 929 906,Murcia,Murcia,30658,Vida,Pendiente,2557.11,2015-09-28,1,Teléfono,8237.34,88.4,NINGUNA
118,Antonio Moreno,20047595L,1998-11-04,antonio.moreno@email.com,666 666 666,Zaragoza,Zaragoza,19454,Responsabilidad Civil,Activa,1037.24,2022-06-26,1,Online,10827.8,8.5,Cliente preferente
119,Lucía Romero,32564965B,1965-11-26,lucia.romero@email.com,+34 692 803 143,Zaragoza,Zaragoza,50832,Vida,Pendiente,1086.47,2021-12-23,1,Oficina,14900.59,44.4,Reclamación abierta
120,Patricia Blanco,50131083S,1968-08-10,N/A,+34 638 670 682,Palma,Baleares,41156,Auto,Activa,2079.42,2016-01-20,2,Agente,1973.56,150.0,Cliente preferente
121,Elena Torres,19004644L,1978-03-03,usuario@,+34 618 994 319,Madrid,Madrid,28661,Hogar,Activa,288.05,2015-03-01,2,Teléfono,739.38,999.0,-
122,Marta Vázquez,57517690Q,1998-06-27,N/A,,Las Palmas,Las Palmas,35808,Responsabilidad Civil,Vencida,2234.19,2018-02-04,0,Online,10415.34,29.2,OK
123,Raúl Castro,60760636Q,1998-01-12,raul.castro@email.com,+34 625 826 998,Málaga,Málaga,18176,Vida,Activa,2540.19,2015-08-08,3,Online,12483.39,42.1,N/A
124,Carlos Rodríguez,64706505Y,1962-09-25,carlos.rodriguez@email.com,+34 630 675 957,Málaga,Málaga,27334,Salud,Pendiente,1362.46,2019-01-04,0,Agente,12695.23,70.7,OK
125,Laura Fernández,46532022Q,1963-08-28,laura.fernandez@email.com,+34 645 589 584,Málaga,Málaga,29832,Auto,Activa,2341.66,2022-09-19,1,Agente,10176.95,97.3,NINGUNA
126,Elena Torres,55745469P,1991-08-14,elena.torres@email.com,,Málaga,Málaga,29479,Hogar,Cancelada,688.91,2020-03-21,7,Teléfono,8373.29,89.3,Reclamación abierta
127,Lucía Romero,46045138H,1962-11-11,lucia.romero@email.com,+34 651 544 368,Las Palmas,Las Palmas,35701,Auto,Pendiente,1102.33,2022-02-24,0,Oficina,7665.07,34.2,Pendiente validación
128,Sara Gil,69912158U,1995-10-16,sara.gil@email.com,,Zaragoza,Zaragoza,50331,Salud,Activa,2928.05,2019-05-15,1,Teléfono,13707.22,99.8,
129,Isabel Jiménez,48808656W,1960-06-25,isabel.jimenez@email.com,+34 617 715 158,Las Palmas,Las Palmas,35934,Hogar,Pendiente,2961.72,2022-02-06,0,Teléfono,14517.18,0.4,NINGUNA
130,Carlos Rodríguez,32992356V,1996-10-13,,+34 666 139 336,Málaga,Málaga,29357,Salud,Activa,1635.29,2015-04-06,1,Agente,12707.36,2.8,Revisar
131,Lucía Romero,62534223F,1984-07-06,lucia.romero@email.com,+34 668 485 705,Madrid,Madrid,28764,Auto,Cancelada,2815.96,2017-09-15,7,Teléfono,5219.41,82.4,NINGUNA
132,Elena Torres,60795719Y,1965-01-04,elena.torres@email.com,+34 685 749 399,Valencia,Valencia,46355,Vida,Activa,1663.65,2018-01-17,0,Teléfono,2943.23,19.9,-
133,Patricia Blanco,98798296L,1999-10-15,patricia.blanco@email.com,+34 620 306 435,Barcelona,Barcelona,08502,Auto,Pendiente,1016.45,2022-11-15,1,Oficina,8221.8,6.1,N/A
134,Juan López,20563214Z,1964-12-16,juan.lopez@email.com,+34 690 829 613,Málaga,Málaga,29523,Auto,Activa,947.32,2020-04-29,0,Online,6795.22,23.7,OK
135,Antonio Moreno,97384552M,1987-12-13,antonio.moreno@email.com,+34 659 495 470,Murcia,Murcia,30869,Auto,Activa,2802.62,2021-03-28,2,Online,13166.38,42.6,Sin observaciones
136,Lucía Romero,68701337O,1963-06-14,lucia.romero@email.com,+34 632 757 417,Valencia,Valencia,46164,Responsabilidad Civil,Pendiente,682.85,2017-08-25,1,Oficina,1500.48,73.1,NINGUNA
137,Pedro Sánchez,65471391J,1962-09-23,pedro.sanchez@email.com,+34 671 905 604,Las Palmas,Las Palmas,35289,Salud,Pendiente,1822.97,2021-05-11,1,Online,3866.1,62.4,-
138,Francisco Álvarez,91597126Q,1952-05-05,francisco.alvarez@email.com,+34 676 777 321,Murcia,Murcia,30702,Salud,Activa,1755.47,2015-09-03,0,Teléfono,11276.98,23.8,
139,Francisco Álvarez,33387092V,1957-11-06,francisco.alvarez@email.com,+34 670 228 784,Murcia,Murcia,30272,Salud,Activa,2270.94,2020-11-28,1,Oficina,1424.8,50.3,-
140,Raúl Castro,49678201G,1982-05-27,raul.castro@email.com,+34 637 477 721,Bilbao,Vizcaya,48858,Responsabilidad Civil,Activa,1597.88,2015-08-22,2,Oficina,4811.47,92.6,Reclamación abierta
